"","x"
"1576",492000
"1577",365400
"1578",447200
"1579",930900
"1580",307900
"1581",327400
"1582",262400
"1583",447400
"1584",210500
"1585",315300
"1586",530500
"1587",510600
"1588",304500
"1589",226800
"1590",273300
"1591",275900
"1592",333200
"1593",407900
"1594",423300
"1595",261000
"1596",277700
"1597",405600
"1598",438400
"1599",678600
"1600",279300
"1601",537400
"1602",262900
"1603",316500
"1604",693200
"1605",585300
"1606",238100
"1607",299700
"1608",229200
"1609",395200
"1610",373200
"1611",367700
"1612",225200
"1613",730300
"1614",391100
"1615",221500
"1616",467300
"1617",569700
"1618",122900
"1619",258700
"1620",515200
"1621",375600
"1622",270900
"1623",440500
"1624",367700
"1625",559100
"1626",367100
"1627",825200
"1628",320400
"1629",426600
"1630",423500
"1631",331400
"1632",676100
"1633",199400
"1634",421200
"1635",720400
"1636",449900
"1637",495200
"1638",116500
"1639",353500
"1640",181300
"1641",185900
"1642",506700
"1643",275000
"1644",259200
"1645",218600
"1646",289700
"1647",313000
"1648",449300
"1649",213300
"1650",388500
"1651",157500
"1652",337800
"1653",625800
"1654",432400
"1655",334200
"1656",216500
"1657",202800
"1658",536200
"1659",274600
"1660",664200
"1661",427400
"1662",316500
"1663",262400
"1664",323700
"1665",419000
"1666",409100
"1667",385800
"1668",308500
"1669",327600
"1670",537300
"1671",889700
"1672",333300
"1673",455600
"1674",397700
"1675",222400
"1676",241100
"1677",198600
"1678",204900
"1679",190000
"1680",208000
"1681",476500
"1682",318300
"1683",364100
"1684",549200
"1685",290400
"1686",348100
"1687",461200
"1688",367600
"1689",301700
"1690",492400
"1691",316800
"1692",388600
"1693",343300
"1694",357200
"1695",82400
"1696",490600
"1697",292700
"1698",278900
"1699",512700
"1700",346500
"1701",515300
"1702",296800
"1703",404200
"1704",228100
"1705",251200
"1706",534900
"1707",300600
"1708",252300
"1709",581500
"1710",516700
"1711",300400
"1712",576400
"1713",294100
"1714",300600
"1715",319600
"1716",194500
"1717",258100
"1718",214900
"1719",373100
"1720",478600
"1721",212900
"1722",436200
"1723",439100
"1724",325100
"1725",317400
"1726",284600
"1727",311900
"1728",416900
"1729",146800
"1730",187700
"1731",255700
"1732",748600
"1733",493300
"1734",199600
"1735",430300
"1736",776800
"1737",647400
"1738",655700
"1739",327900
"1740",276700
"1741",390200
"1742",269000
"1743",239200
"1744",420900
"1745",364100
"1746",161600
"1747",546900
"1748",364100
"1749",314300
"1750",253600
"1751",231100
"1752",686400
"1753",338700
"1754",680600
"1755",299500
"1756",332200
"1757",287200
"1758",485300
"1759",239800
"1760",185600
"1761",231800
"1762",279900
"1763",467100
"1764",366000
"1765",183400
"1766",199100
"1767",370300
"1768",250200
"1769",299700
"1770",310200
"1771",266400
"1772",495300
"1773",241800
"1774",187100
"1775",419300
"1776",1070500
"1777",465600
"1778",543600
"1779",341000
"1780",278100
"1781",280800
"1782",453200
"1783",470000
"1784",180400
"1785",270300
"1786",304000
"1787",1584900
"1788",180900
"1789",446800
"1790",376800
"1791",381700
"1792",294000
"1793",324000
"1794",412400
"1795",515400
"1796",416400
"1797",168500
"1798",218100
"1799",237600
"1800",425300
"1801",326000
"1802",350800
"1803",452700
"1804",420500
"1805",281000
"1806",400000
"1807",298600
"1808",352700
"1809",280700
"1810",247300
"1811",355300
"1812",559600
"1813",442700
"1814",337800
"1815",412800
"1816",363200
"1817",416700
"1818",432800
"1819",380400
"1820",489800
"1821",213100
"1822",345300
"1823",355700
"1824",275400
"1825",242200
"1826",353500
"1827",322500
"1828",370200
"1829",324400
"1830",315900
"1831",191600
"1832",414000
"1833",213800
"1834",362600
"1835",560200
"1836",253400
"1837",311600
"1838",277000
"1839",298400
"1840",389200
"1841",317400
"1842",397600
"1843",219400
"1844",480300
"1845",337000
"1846",740400
"1847",286400
"1848",789300
"1849",309000
"1850",318100
"1851",473600
"1852",339200
"1853",294100
"1854",114900
"1855",408400
"1856",235000
"1857",278800
"1858",483200
"1859",344700
"1860",1367700
"1861",344500
"1862",273500
"1863",267400
"1864",220300
"1865",674400
"1866",2495800
"1867",428800
"1868",271900
"1869",386300
"1870",297400
"1871",416600
"1872",308000
"1873",242400
"1874",217500
"1875",432500
"1876",351900
"1877",378200
"1878",344000
"1879",279200
"1880",409500
"1881",228600
"1882",278500
"1883",485600
"1884",264000
"1885",341000
"1886",298500
"1887",208200
"1888",311900
"1889",269200
"1890",291700
"1891",323700
"1892",270000
"1893",487300
"1894",230800
"1895",309000
"1896",404400
"1897",354800
"1898",318500
"1899",253400
"1900",633700
"1901",300600
"1902",2469000
"1903",380500
"1904",451600
"1905",206800
"1906",453600
"1907",377900
"1908",403000
"1909",245500
"1910",281500
"1911",239000
"1912",213600
"1913",260300
"1914",300800
"1915",352300
"1916",428600
"1917",253800
"1918",379100
"1919",374900
"1920",298400
"1921",441200
"1922",282500
"1923",217600
"1924",697700
"1925",330300
"1926",348700
"1927",384300
"1928",159300
"1929",276100
"1930",504400
"1931",321800
"1932",298700
"1933",402300
"1934",356900
"1935",391000
"1936",363200
"1937",486900
"1938",365200
"1939",313000
"1940",1006400
"1941",259400
"1942",277200
"1943",247500
"1944",166100
"1945",397900
"1946",294700
"1947",464200
"1948",288600
"1949",332100
"1950",281100
"1951",349000
"1952",266000
"1953",305900
"1954",272900
"1955",328500
"1956",316900
"1957",239300
"1958",30900
"1959",731700
"1960",201800
"1961",393700
"1962",217600
"1963",432400
"1964",298400
"1965",271600
"1966",505000
"1967",279900
"1968",279800
"1969",264200
"1970",521800
"1971",205500
"1972",237800
"1973",308100
"1974",144600
"1975",270300
"1976",315300
"1977",484900
"1978",241300
"1979",466200
"1980",351900
"1981",301400
"1982",360200
"1983",278100
"1984",410100
"1985",384300
"1986",315200
"1987",873900
"1988",272700
"1989",649800
"1990",258300
"1991",519900
"1992",251300
"1993",270600
"1994",527500
"1995",262000
"1996",562900
"1997",358600
"1998",305800
"1999",502000
"2000",680400
"2001",641000
"2002",312700
"2003",327200
"2004",402400
"2005",331400
"2006",511000
"2007",269300
"2008",360300
"2009",498700
"2010",207700
"2011",441200
"2012",313400
"2013",311700
"2014",193800
"2015",467700
"2016",370300
"2017",277200
"2018",321000
"2019",143800
"2020",401400
"2021",341800
"2022",261300
"2023",408100
"2024",307400
"2025",235500
"2026",486500
"2027",245300
"2028",414800
"2029",195700
"2030",220400
"2031",409400
"2032",524000
"2033",523900
"2034",428100
"2035",273300
"2036",265600
"2037",226100
"2038",239800
"2039",516500
"2040",404400
"2041",345600
"2042",263700
"2043",317400
"2044",618000
"2045",491300
"2046",291400
"2047",592300
"2048",322300
"2049",233800
"2050",270100
"2051",403600
"2052",214000
"2053",482700
"2054",278900
"2055",303100
"2056",187300
"2057",294100
"2058",340300
"2059",452100
"2060",174200
"2061",236400
"2062",242000
"2063",654100
"2064",483100
"2065",306800
"2066",177200
"2067",157700
"2068",308300
"2069",547900
"2070",598400
"2071",259400
"2072",678200
"2073",374800
"2074",293400
"2075",279500
"2076",261500
"2077",362600
"2078",330700
"2079",604800
"2080",249200
"2081",414300
"2082",382400
"2083",461000
"2084",246100
"2085",256300
"2086",251300
"2087",649000
"2088",236100
"2089",297800
"2090",510900
"2091",604900
"2092",413200
"2093",368600
"2094",313000
"2095",267700
"2096",307800
"2097",336000
"2098",623700
"2099",419300
"2100",213100
"2101",246900
"2102",521000
"2103",279300
"2104",467400
"2105",280400
"2106",214000
"2107",348000
"2108",327100
"2109",418500
"2110",262800
"2111",526800
"2112",144000
"2113",253200
"2114",327800
"2115",667500
"2116",307100
"2117",284700
"2118",263100
"2119",320600
"2120",513900
"2121",344800
"2122",237700
"2123",337800
"2124",715400
"2125",312700
"2126",553200
"2127",273300
"2128",268800
"2129",207000
"2130",341800
"2131",297800
"2132",680300
"2133",327000
"2134",419000
